text,isFake,isHateSpeech,isToxic,predicted_isFake,predicted_isHateSpeech,predicted_isToxic
"Russland den Krieg erklären &amp; dann Karnevalsorden abholen  Dieses Land ist zwar sowas von im Eimer, aber lustig für Freunde des britischen Humors. „Es ist lustig, wenn Tote drin vorkommen..“",1,-1,-1,1,1,1
"Ich glaube, es ist ganz leicht:
Wir müssen einfach immer genau das Gegenteil von dem machen, was Volker  sagt.",1,-1,-1,0,0,0
Radiator Engine Gasoline 16400-36260 Fits 13 14 15 16 17 18 Lexus ES300H OEM https://t.co/oSAkP6owLt eBay https://t.co/w7NYXAuu5e,1,-1,-1,0,0,0
"Nach monatelangem Ringen: EU-Energieminister einigen sich auf Gaspreisdeckel In der Europäischen Union sollen die Gr... https://t.co/jgn3b7jaat
https://t.co/jgn3b7jaat",1,-1,-1,0,0,0
Automatic Transmission 3.0L Gasoline Fits 2004 2005 2006 BMW X5 E53 OEM https://t.co/xYeNWHnXmW eBay,1,-1,-1,0,0,0
"Warum gehen Männer kaum in Karenz? Kinderbetreuung  ist in  nach wie vor Frauensache.
@katmittelstaedt ob jemand in Karenz geht hat weniger mit ""gender pay gap"" zu tun als vielmehr mit den Lohnunterschieden zwischen den Berufsgruppen (bzw. Einkommensgruppen):",1,-1,-1,0,0,0
"Wieso eigentlich? Grüne im Bundestag fälschen doch ihre Papiere, die dürfen das während gegen andere Ermittelt wird. Komische Gleichheit vor dem Gesetz. Die Aussenministerin hat höchsten einen Abschluss der Höheren Sonderschule, ihre Intelligenz hat die 
https://t.co/U8D92jCzvq",1,-1,-1,1,1,1
"34% Off!

Sportsman Gasoline 4000W Portable Generator 

https://t.co/MFv2eN26xo

   https://t.co/mn7lNZz1SW",1,-1,-1,0,0,0
"nach der ""eigenverantwortlichen"" Präsenzveranstaltung der IT-Abteilung letzte Woche, mit mindestens einem bestätigten Corona-Fall, Meldet sich heute auch noch der Chef krank .. Läuft",1,-1,-1,1,0,0
"Der Buergermeister von  ist so inkompetent! Laesst uns alle haengen, spielt lieber Tennis. Toll. Zwei Menschen tot, alles klar! 

Hoffen wir mal, dass die Vulkane sich erstmal benehmen werden!",1,-1,-1,1,1,1
"Hallo liebe Frau @NancyFaeser,

ich weiß gar nicht, ob Sie es schon wussten, aber vom Kloster Eberbach sind es nur 103km bis nach Ludwigshafen. Ist quasi um die Ecke aus dem Rheingau. 
 

 

https://t.co/A0bFZqruRI https://t.co/PRf8xkiW8X",1,-1,-1,0,0,0
"Was ist denn mit @diegruenen los? Voll integriert in unseren (neo)liberale Demokratie. Text von ca. 2014 (1)
 https://t.co/Cj9aYkVijZ",1,-1,-1,0,0,0
"Wer genau von den  soll sich nur weil man aus unterschiedlichen religiösen Hintergründen stamme, von einem historischen Kreuz aus 1540 angegriffen fühlen? Wohl eher mal wieder eine Kampfansage gegen unsere christliche Kultur seitens der Grünen.",1,-1,-1,1,1,1
"Die Stimme von  war seltsam leise, als es darum ging, die Truppen in  zu halten, damit dort nicht wieder dasselbe Chaos einzieht, wie schon vormals. Das war ein Projekt für 50+x Jahre.

Die Ernte dieses ISAF-Rückzugs wird jetzt von den Menschenfreunden bejammert.",1,-1,-1,0,0,0
Mehr Geld für Working-Poor – So will Zürich den Mindestlohn einführen https://t.co/mHookwaoHn Das Links/Grüne versiffte Zürich setzt Utopien auf Kosten der Leistungsträger durch.Ignoranz und Inkompetenz regieren die grösste Stadt der CH. Bürgerliche/Liberale - nicht wahrnehmbar.,1,-1,-1,1,1,1
"Elon Musk hat nach seiner Übernahme von Twitter interne geheime Dokumente veröffentlicht (Twitter Files genannt). Die Dokumente belegen Zensur im Internet und unter anderem auch Korruption im Zusammenhang mit der Biden Familie. 

https://t.co/971ISvZX7R Empfehlung",1,-1,-1,1,0,0
"Heya @Karl_Lauterbach  und @Bundeskanzler ...

Machen deine Arbeit.
Oder 
Es ist sehr einfach... 

Nee ?",1,-1,-1,0,0,1
Hinzuverdienstgrenze für Frührentner wird 2023 aufgehoben: Was bedeutet das?des ist also mit Bestrafung gemacht wer krank wird und zwingend früher als andre aufhören muss weil Unfall und chronische Krankheiten hat wird mit Abzügen bestraft super Politik  https://t.co/O8s0qbWi0a,1,-1,-1,1,0,1
"Pfeifen im Walde. Faktor 1:10 bei den Panzern. Aber das wissen Sie ja eh...
Dieser Krieg ist nicht zu gewinnen. Das sollten auch ehemalige Liberale inzwischen verstehen können. https://t.co/AXCybCD6rn",1,-1,-1,1,0,0
"Wenn ich “mehr Autobahnen” höre, höre ich: mehr Flächenversiegelung, weniger Natur. Was das mit emissionslosen Autos zu tun haben soll, erschließt sich mir nicht. Einen Ausbau des  höre ich bei der Argumentation auch nicht heraus.",1,-1,-1,0,0,0
"Abwählen der !

Im besten Deutschland aller Zeiten sollte man seine Regierung nach so vielen grotesken Fehlern abwählen dürfen. Noch nie hat eine Regierung in so kurzer Zeit so viel Schaden angerichtet wie ,  und 

  https://t.co/ZQyOIuYz9v",1,-1,-1,1,0,1
"UPDATE 
:
➩ Die an die Ukraine grenzende Republik Moldau befürchtet eine russische Invasion im kommenden Jahr.
➩ Die Schweiz setzt die Aufnahme schutzbedürftiger Flüchtlinge vorübergehend aus.
➩ Die EU-Staaten haben sich auf einen Gaspreisdeckel geeinigt.
[1/2]",1,-1,-1,0,0,0
"Wenn du erfährst dass dein Nachfolger für exakt die gleiche Arbeit mit einem weniger passenden Abschluss ne Gehaltsstufe höher eingestuft wurde, wo du für deine Gehaltsstufe noch mit dem LKA 9 Monate kämpfen musstest.
Fick die @evlks und ihren beschissenen",1,-1,-1,1,1,1
"+++ Update: Do., 16:15 Uhr +++ Kofferfund am Servatiiplatz. Sprengstoffspürhund und ein Entschärferteam sind zur Sicherheit für Überprüfungen im Einsatz. Der Bereich rund um den Koffer ist vorsorglich gesperrt.   https://t.co/XT7xXfYRTX",1,-1,-1,0,0,0
"Weltweit bekommen Männer für ihre Arbeit mehr Gehalt als Frauen. In Deutschland liegt die Lohnlücke bei 20 Prozent. Die Fair-Pay-Expertin Henrike von Platen ist überzeugt: Um den Gender Pay Gap zu schließen, müssen wir über Geld sprechen.  https://t.co/WSMvBS8wk7",1,-1,-1,0,0,0
"Strom-Zoff in der Ampel eskaliert @BILD Wenn’s 30.000 bei Flaute nicht bringen, dann bestimmt 10.000 mehr. Lasst gefälligst die KKW laufen - und baut zusätzlich neue! ⁦@Bundeskanzler⁩  https://t.co/0lYZjV1APV",1,-1,-1,0,0,0
"Die Grünen möchten wie ihr 
"" Führer"" Klaus Schwab,der WEF- Sektengestörte, die Legalisierung der Pädophilie, den Inzest und die Abtreibung von gesunden, ungeborenen Kindern bis zum letzten SST legalisieren.Widerwärtig!Iiihhh. https://t.co/njiAjJRouQ",1,-1,-1,1,1,1
und  brauchen die  in . https://t.co/4lAkltfQDq,1,-1,-1,0,0,0
"Frau Leben Freiheit. 

Ich bewundere den Mut der Frauen im . Berlin ist an Eurer Seite. Wo, wenn nicht hier, in der Stadt der Freiheit, ist es richtig, dieses Zeichen der Solidarität zu setzen. Für Frauenrechte, für Menschenrechte.  https://t.co/0rCnqa21Ny",1,-1,-1,0,0,0
"in 

- Eintreffen der Delegationen.

Dazu werden großzügig Kreuzungen gesperrt,
die Menschen*
 daran hindern,
zum Nachtdienst zu fahren.

* mich.",1,-1,-1,0,0,0
Die meisten Anträge der Betroffenen wurden bewilligt.     https://t.co/Jd7vKix4Bv,1,-1,-1,0,0,0
"Aborigines = Camping Platz

Geburtenkontrolle wäre vielleicht doch nicht so schlecht.",1,-1,-1,1,1,1
"Beratung zu EU-Gaspreisdeckel: Deutschland könnte überstimmt werden
https://t.co/qezg3tC4uA Die Verhandlungen darüber, ob das am besten mit oder ohne Deckel gelingt, ähneln jedoch der Quadratur des Kreises.   https://t.co/PI4MTd1cZT",1,-1,-1,0,0,0
"Der Real-Sozialismuss kann nur eines ganz gründlich: zersetzen, hetzen, stehlen, töten und lügen. Die neuen Realsozialisten finden Sie bei , , ,  und . Und die  hat keinen Plan.",1,-1,-1,1,1,1
Das Thema des Tages in  ist natürlich das -Treffen: Wir blicken auf die Ankunft der Minister und das Geschehen im Friedenssaal - dazu auf die Demos rund um das Großereignis.  https://t.co/X0dF4ygaLh,1,-1,-1,0,0,0
"Falls es Christian  von der  noch nicht weiß: man kann in die 46mio Verbrenner von heute nicht einfach ab morgen  hinein schütten. 

Gern geschehen.",1,-1,-1,0,0,0
"“Das geht so nicht” -  @RegierungBW ist wie viele Länderchefs verärgert mit  @Bundeskanzler &amp; @MarcoBuschmann, da sie nach Flutkatastrophe Pflichtversicherung für Großschäden hinauszögerten: “Unwetter warten nicht auf die Politik” @Tagesspiegel https://t.co/d6WMtPMzdx",1,-1,-1,0,0,0
"Mindestlohn reicht nicht
 
https://t.co/Ndg9omcWaD",1,-1,-1,0,0,0
"29.Okt
 &amp;  reached a deal to restart gas supplies after an energy shortage lasting several days
https://t.co/m1QlutiFB7
↨
SpON dagegen schiebt Panik

Moldau:
Mit Gazprom zeichnet sich keine Einigung ab – und Alternativen sind kaum absehbar
https://t.co/1SrQy4XQ5I https://t.co/GuR0I5ZEXg",1,-1,-1,1,0,0
"Das Kopftuchtragen steht für die Herrschaft der Männer,es ist gegen Frauenrechte,Gleichberechtigung!Wäre es anders,würde es niemanden interessieren,welche Kleidungsstücke + warum sie getragen werden.Weil dies aber auch in der BRD so praktiziert wird,vertraue ich dem Islam NICHT!1",1,-1,-1,1,1,1
Engine Gasoline 3.5L VIN Z 5th Digit 2GRFKS Engine Fits 17-19 HIGHLANDER 2305067 https://t.co/a1aEr1QK7q eBay https://t.co/xhvK8r7LYy,1,-1,-1,0,0,0
"Übersichtsseite bei Prime Video noch nicht scharf, aber für 0,99 € werden nach einem groben Blick folgende Filme geliehen:

- ""The Roundup""
- ""The Killer - Someone Deserves to Die""
- ""Pfad der Vergeltung""
- ""Gasoline Alley""
- ""Last Looks""
- ""Christmas, Bloody Christmas"" https://t.co/XGbidVv81u",1,-1,-1,0,0,0
"Wehrhafte liberale und weltoffene  Demokratie! So und nicht anders!
Herr  , ich wünsche Ihnen viel Erfolg im neuen Amt!",1,-1,-1,0,0,0
ich finde steuern sollten vom stundenlohn berechnet werden weil warum soll jemand der 40 stunden woche/mindestlohn arbeitet gleich viel steuern zahlen wie jmd der 10 stunden woche macht aber 4x den stundenlohn hat das macht kein sinn,1,-1,-1,0,0,0
Ausbremsen. Gutes Thema   vor  aber @fdp hat leider nur die Interessen der höheren Einkommensschichten und Unternehmer im Blick.,1,-1,-1,0,0,0
"Jede seriöse Aufarbeitung der letzten Jahren muss eine Bestrafung der führenden Köpfe, die Verunmöglichung einer Neuauflage und die Abschaffung des Gesundheitsministeriums beinhalten.",1,-1,-1,0,0,0
Rund eineinhalb Jahre nach der Flutkatastrophe im  in  haben Ministerpräsidentin Malu  und Innenminister @michaelebling mit Bürgermeistern über den weiteren Wiederaufbau beraten. Dabei sagten sie ihnen mehr Unterstützung zu. https://t.co/FqYT57U0Tx,1,-1,-1,0,0,0
Gottloses  in Münster:  lässt 482 Jahre altes Kreuz entfernen https://t.co/HWnYEk2UBV,1,-1,-1,1,0,0
"Macht sich eigentlich irgendwer Gedanken darüber, wie es den Opfern der  geht, wenn diese die Informationen des  durch die Nachrichten erfahren?",1,-1,-1,0,0,0
Präsident  ist auf seinem Rückflug aus den  mit |s Staatspräsident  zusammengetroffen. Die  schicken eine Warnung an . Und: Putin reagiert auf den Ölpreisdeckel. Weitere News im Ticker. https://t.co/d51cLl7RRS,1,-1,-1,0,0,0
"2/3 der ""Fachkräfte""  die unsere Regierung bevorzugt, haben weder eine Ausbildung noch einen Abschluss!  

… unsere nächste Generation im Bundestag! https://t.co/Grfcjm6w0n",1,-1,-1,1,1,1
"Gas shortage: Litro &amp; Laugfs say no gas

https://t.co/YD8wl5Nf3d",1,-1,-1,0,0,0
"und  tun mehr für den     als die Ampel.
Sie sprechen aus Erfahrung und mit einem Wissen, die der  fehlt",1,-1,-1,0,0,0
"Menschsein zeichnet unteranderem aus, dass Viele in einer Notsituation selbst für fremde Kinder ihr eigenes Leben riskieren - die Anderen wählen die .",1,-1,-1,0,0,0
FDP: Mehr vom Gleichen.,1,-1,-1,0,0,0
Muskil 6 Kathmandu ma...,1,-1,-1,0,0,0
Sind @Die_Gruenen so skrupellos naiv? Leider sind die Fähigen längst tot. Nun sind die Stümper am Ruder. Es wird in Katastrophen enden. @dieLinke @AfD @spdbt @Luisamneubauer @NZZaS @RZitelmann @boarischgredt @dpa @RolandTichy @BILD,1,-1,-1,0,0,1
"87  $3.95 (@ Costco Gasoline in San Diego, CA) https://t.co/HGwKn6xHXr",1,-1,-1,0,0,0
Frauenrechte und Blizzard in einem Tweet. Wie dumm kann man sein?,1,-1,-1,0,1,1
Gemeinsam mit dem ​er Bürgermeister haben Angehörige der  kürzlich ihr Patenschaftsjahr 2022 reflektiert. 4x hat die  bei Veranstaltungen in Dernau unterstützt. Die Erlöse daraus wurden an der Gedenkstätte für die Opfer der  überreicht. https://t.co/g8sDtaaaDL,1,-1,-1,0,0,0
Richtig gute Initiative von @lisapaus https://t.co/2lqsaaMI3z  das bringt mehr als jedes gendern bzgl Gender Pay Gap etc,1,-1,-1,0,0,0
"Nach der  in  und -Pfalz sollen die Deutschen in Zukunft früher gewarnt werden. So funktioniert  Broadcast, das neue  der .

https://t.co/qhTn7IVHIG",1,-1,-1,0,0,0
"Nur mal nachgefragt:

Denen die jetzt so laut nach Lockdown und Arbeitsverbot für Ungeimpfte schreien ist schon klar, dass dann im nächsten LD die Pizza nicht pünktlich zum Zoom-Meeting da ist und auch der bei Amazon bestellte Krempel nicht am nächsten Tag auf der Matte liegt?",1,-1,-1,1,0,1
"Das schlimmste Verbrechen für die FDP in Berlin ist es, wenn jemand Bäume und Pflanzen auf die  stellen möchte.

Diese Partei ist so lost. https://t.co/e0Sbpz8nnd",1,-1,-1,0,0,1
Die humanitäre Lage in   hat sich seit der Machtübernahme der Taliban dramatisch verschlechtert. Insbesondere die Rechte von Frauen und Mädchen werden systematisch verletzt. Deutschland  und die  lassen sie nicht alleine.  https://t.co/Oq2FimeYwi,1,-1,-1,0,0,0
"„Ich muss das Kopftuch tragen, weil ich dazu gezwungen werde…..“

Diese und ähnliche Antworten werden erwartet, wenn ich gefragt werde, warum ich das Kopftuch trage!

Nein - es ist nicht so! 

  
     https://t.co/M40YhRy2vA",1,-1,-1,0,0,0
Busfahrend einstimmen auf  in  mit den Kolleg:innen des ⁦@BR_Presse⁩. https://t.co/puVA3nq9ji,1,-1,-1,0,0,0
Absolut wir brauchen ein Berlin das für alle Funktioniert! Blöd nur das dabei die @cduberlin @spdberlin @dielinkeberlin @gruene_berlin &amp; andere liberale sowie Faschisten keine Rolle spielen.  gib den kleinen eine Chance @PiratenBerlin @Volt_Berlin ezpp,1,-1,-1,0,1,1
"-Treffen in : Bundesaußenministerin @ABaerbock und US-Außenminister @SecBlinken fühlten sich in ihren Hotels wohl - die Hotel-Direktoren berichten, wie sie ihre prominenten Gäste erlebt haben.  https://t.co/hWDeLem8J5",1,-1,-1,0,0,0
"Im Sonntagstrend hat der  nur noch 1% mehr als die 
Eine konservativ-liberale Regierung aus  AfD und  käme auf 51%. 
Und da sind die enttäuschten Nichtwähler noch nicht dabei.",1,-1,-1,1,0,0
Endlich gehören  wieder zu den 100 bedeutendsten  in Deutschland.  vs.,1,-1,-1,0,0,0
"Jetzt zeigt sich, wie politisch eigentlich  ist. Sie wird wie oft, zum Spielball von anti-demokratischen Regimen. Humanitäre Hilfe &amp; Frauenrechte in  sind keine Verhandlungsmasse! Stoppt die Finanzierung der  - ihnen sind die Menschen eh egal.",1,-1,-1,1,1,1
"Besonders intensiv hat sie ja die  im  gemanaged. 

Diese Lobhudeleien im  zeigen wieder, das Ihr im @ZDF dem distanzierten, unabhängigen  völlig abgeschworen und Euch freiwillig zu Top  der  entwickelt habt. https://t.co/DM4cFcOVy1",1,-1,-1,0,0,0
"Flutkatastrophe: Werden Betreiber von Kiesgruben richtig kontrolliert? 
28 Tagebaue wurden in hochwassergefährdeten Gebieten aufgefordert, Gefährdungseinschätzungen anzufertigen. Trotz Fristsetzung liegen Stand jetzt nur neun davon vor. Ergebnis unbekannt. https://t.co/EqnadWRCVR",1,-1,-1,0,0,0
"[INSTAGRAM] 220906 bumkeyk IG Update

“bound”

 https://t.co/0avCU7d3CH

 
 

 https://t.co/La69uMx0Tp",1,-1,-1,0,0,0
"Übrigens diese Woche die Specs zu meiner Beförderung bekommen. Angebot sind 2000€ weniger als das, was mein männlicher Kollege als Gehalt bekommt in der gleichen Stelle/Voraussetzung. Es sind dann mit Gehaltsbändern schön geredet und nicht als Gender Pay Gap angesehen",1,-1,-1,1,1,0
Ein Gaspreisdeckel wäre ökonomischer Unsinn. https://t.co/0Ir81kJ5Wx,1,-1,-1,0,0,0
Gefährliche Eskalation: „BAERBOCK ist eine tickende ZEITB….“ https://t.co/7w8RK19E55 via @Pressecop24com,1,-1,-1,1,1,1
"Quoten Türke im Bundestag der hat Februar 2022 diesen Preiskampf entfesselt. Wenn es im hier zu Billig ist, dann soll der in die Türkei gehen. Da ist die Inflation wohl eher nach seiner Vorstellung. Cem Özdemir heißt die Preis Erhöhung. 
https://t.co/8FcWKE7hNc",1,-1,-1,1,1,1
"Flutkatastrophe 2021: Ein Unwetter, das unterschätzt wurde | Heimatflimm... https://t.co/IicIKpb4pf via @YouTube",1,-1,-1,0,0,0
"Muss @Bundeskanzler eigentlich vor den nächsten Bundestagswahlen auch zurücktreten, wenn er nochmal als Spitzenkandidat antritt.
Er kann ja schlecht Bundeskanzler sein und dabei Wahlkampf machen.",1,-1,-1,0,0,0
