text,is_fake,is_hate_speech,is_toxic
junge insta stories erdbeben türkei geantwortet wünschte umarmen musst voll aufgebracht bro wtf,0,-1,-1
schwangerschaftsabbruch japan woche legal abtreibung abtreibungspille frauen frauenrechte gesundheit japan japannews nachrichten news schwangerschaftsabbruch selbstbestimmung zulassung,0,-1,-1
folge bugged frage elonmusk,0,-1,-1
jahrzehnte bundestag dürfte geben,0,-1,-1
istanbul nachrichten ostukraine bekommst wohlauf seist erdbeben türkei,0,-1,-1
überraschung tages nehme angebot dankend kenntnis sagt bundespräsident lehnt rücktrittsangebot bundesregierung ab bundesversammlung,0,-1,-1
entschuldigung abgelehnt bestrafung verlangt,0,-1,-1
manchmal boden desinfiziert ausbreitung krankheiten kultur sogar beim menschen verhindern,0,-1,-1
millionen euro eingesammelt deutsche firma elon musk all konkurrenz,0,-1,-1
brauchen rechtsextremisten bundestag noafd wannwachtihrauf afdmachtdumm,0,-1,-1
hamidehzeraei rasht seit monaten gefängnis karadsch wurde gefoltert richter asef alhosseini salavati vorliebe verhängen todesurteilen vorgeführt iranrevolution irgcterrorists,0,-1,-1
familienministerin lisa paul verbot abtreibung aufheben familienministerin lisa paus komplette abschaffung abtreibungsparagrafen vorgeschlagen vorstoß frau paus dammbruch verständnis menschlichen leben,0,-1,-1
rigorose bestrafung un menschen,0,-1,-1
katastrophen verheerende erdbeben türkei syrien,0,-1,-1
alarmierend informatik fristet dt schulen nischendasein gegensatz fast europäischen ländern informatik pflichtunterricht anbieten deutschland schülern informatische grundbildung garantieren heiseonline,0,-1,-1
gender pay gap frauen ostdeutschland verdienen mehr männer zeit online,0,-1,-1
frau faesers qualität ministerin wahlkampf allgemeine qualität sozialliberalökologischen ampel sicher erfüllen aktuellen standard zusätzlich teppiche klöppeln bundestag dekorieren bildhauerkurs besuchen,0,-1,-1
deutscher bundestag schluss xxlbundestag abgeordnete genug unterschreiben via changeger,0,-1,-1
internationalen forschungsteam halilsabanci millionen datenpunkte ausgewertet herauszufinden wer ursprung genderpaygap studie berücksichtigt daten ländern amp wurde naturehumbehav veröffentlicht,0,-1,-1
genialer schachzug elon musk kommt rücktritt twitterchef herum einfach wort hält,0,-1,-1
verwaltungsgericht antrag schönbohm arbeitsverbot,0,-1,-1
dutzende menschen sterben erdbeben türkei drama ansage monatelang zuvor forscher davor gewarnt niemand hörte,0,-1,-1
verkleinerungsdebatte bundestag ampelvorschlag kürzt parteien gleich unionsvorschlag kürzt bevorteilt union fordert union kompromiss gleich mehr dazwischen kompromiss bevorzugt union,0,-1,-1
karaoke bar besitzerin nebenverdienst bundestag goals,0,-1,-1
ja jtrittin ja wäre guter inhalt nächste rede bundestag vonovia vergesellschaftung enteignung,0,-1,-1
hpi hassoplattnerinstitut vorbereiten bundeswettbewerb informatik fitforbwinfcamp hpi potsdam,0,-1,-1
erdbeben türkei kurdistan syrien nacht montag kam massiven erdbeben nahen osten mehreren hundert tote rojava möglichkeit rettung unterstützen kurdischen roten halbmond spenden,0,-1,-1
costco gasoline san diego ca,0,-1,-1
danke bundeskanzler,0,-1,-1
eugh vorratsdatenspeicherung rechtswidrig sagen datenschutz grundrecht,0,-1,-1
faeser harte bestrafung chaoten,0,-1,-1
kachelmann schön sagt dumm bayernpartei,0,-1,-1
wohnungsbau geld vorhanden bundeskanzler,0,-1,-1
new video by phoenix parteipressekonferenz fdp bijan djirsarai sebastian czaja,0,-1,-1
münchen fdp landtag staatsregierung folgen coronaauflagen sexarbeiterinnen untersuchen lassen arbeitsverbot sexarbeit illegalität verlagert sei hebel sexuelle ausbeutung geworden,0,-1,-1
erdbeben türkei katastrophe menschen erdogan willkommene wahlkampfhilfe macher inszeniert eu willkommen schweden finnland menschen verdienen hilfe erdogan verdient,0,-1,-1
bedrohung zerstörung lebensräumen naturkatastrophen ausbreitung krankheiten befeuerung kriegen menschen schon flucht gezwungen fordern lebenswerte welt keingradweiter wirhabenplatz,0,-1,-1
varta geplanten aufbau batteriefabrik elektrofahrzeuge gestoppt begründung energie rohstoffpreise sowie pandemiebedingte produktionsunterbrechungen kundenseite genannt mehr unseren batterynews,0,-1,-1
herr bundeskanzler frau abaerbock sagen europarat coe achten menschenrechte bieten julian assange asyl deutschland auswaertigesamt freeassange freeassangenow dropthecharges,0,-1,-1
wünschen mamas wunderbaren muttertag,0,-1,-1
massive probleme kartenzahlungen digitale euro abschaffung bargeld unbedingt verhindert gläserne steuerbare gesellschaft bargeldistfreiheit bayernpartei freiesbayern ffb,0,-1,-1
omg sehe gerade tagesschau ersten mal bilder aktuellen erdbeben grenze türkei syrien furchtbar,0,-1,-1
braunschweig religiöse minderheit fanfarenklänge bekommt kommt bundesregierung allmählich jahrhundert gute nachricht trennung religion politik selbstverständlichkeit ratbs,0,-1,-1
fpö hafenecker bundespräsident van bellen problematisches amtsverständnis überdenken,0,-1,-1
bayernpartei berlin freibierlätschn republik via napresseportal ots politik news,0,-1,-1
michael hajesch chef betreibers europas größtem schnellladenetz elektrofahrzeuge erwartet dynamischere entwicklung stromkosten,0,-1,-1
ehemalige gefängnisinsassin schottland beschreibt tägliche realität duschen zellen transfrauen teilen müssen wegen häuslicher gewalt mordes verurteilt wurden exakte definition grausamer erniedrigender bestrafung,0,-1,-1
gstaaten verfolgung russischer kriegsverbrechen ukraine besser koordinieren kriegsverbrechen dürfen ungesühnt bleiben egal wer begangen egal begangen worden justizminister buschmann,0,-1,-1
katastrophenerdbeben türkei syrien tote earthquake e via youtube,0,-1,-1
baerbock minuten annalenateam ukraine krieg zusammenscha via youtube,0,-1,-1
gottesdienste veranstaltungen sankt johannis forchheim sonntag uhr gottesdienst st johannis evangluth st johanniskirche felix stöhler religion veranstaltungen forchheim hausen kersbach,0,-1,-1
elonmusk möchte tesla,0,-1,-1
post bestellt elektrolieferwagen ford türkei ende sollen fahrzeuge ausgeliefert beide unternehmen montag mitteilten finanzielle volumen auftrags wurde,0,-1,-1
elonmusk verbreitet propaganda ukraine fast ua deutsche soldaten bundeswehr getötet wurden afd linke bisher bemerkt deutsche soldaten gestorben vergangenen monaten,0,-1,-1
sonja eigentlich geheimen twitter account sicherlich dauerhaft lucas darf könig werdentweeten ibes,0,-1,-1
finanz informatik gmbh amp co kg sucht cyber security analyst cdc mwd hannover bewerben jobs hannover cyber security analyst finanz,0,-1,-1
thema niemehrcducsu drückt masken reichsbuerger vergewaltigunginderehe abtreibung bescheuert,0,-1,-1
warnungen geologen zb naci görür celal engör lange zeit berücksichtigt wurden ursachen führten katastrophen ergebnissen,0,-1,-1
bitte herr bundespräsident herbert kickl angeloben schadet österreich ganzen welt,0,-1,-1
heute prozess jährigen demonstrierenden armitaabbasi inhaftierung wurde brutal missbraucht letztes jahr gab größeren bericht sexuelle gewalt bestrafung seitens ircgterrorists jinaamini jinjiyanazadi,0,-1,-1
baerbock bekam preis strack zimmermann kam böse königinoder darstellen sofort nosferatu denken,0,-1,-1
zuletzt blamage bundespräsident frankwalter steinmeier jüngst amtseinführung aufwartung machte hoffnungsträger würdigte lula vorzeigedemokrat teamheimat,0,-1,-1
panik davos elon musk gerade wef zerstört livestream clayton morris via echsfrau,0,-1,-1
erdbeben türkei dramatisch wünsche betroffenen menschen ort kraft umso schlimmer attilahildmann querdenker verschwörungsassis verbreiten dabei menschengemachte angriffe handelt traurig,0,-1,-1
ricardalang meinung fräulein breit äh lang unsere nächste bundeskanzler inin,0,-1,-1
anzeige bayernpartei aufstellung freut freiheitliche konservative stimme schmerzhaft bayern vermisst,0,-1,-1
demokratie putsch hochverrat enteignung ausbürgerung bestraft erst recht ermordung regierungsmitgliedern geplant deutschland bestrafung vorgesehen rollatorputsch sprechen unangemessen,0,-1,-1
drei punkte spd frau cducsu bundestag gerade opposition,0,-1,-1
ks testet elektrofahrzeuge tage,0,-1,-1
syrien erdbeben türkei türkei,0,-1,-1
offener kooperativer internationaler club klima g klimaclub leben gerufen klimaschutz ambitioniert global voranzubringen gger,0,-1,-1
land bibel strassen elektrofahrzeuge aufladen,0,-1,-1
darf vorstellen steffenkotre ehemals fdp heute afd bundestag weiteren fragen ehren,0,-1,-1
gaspreisdeckel beschlossen eu via handelsblatt boersenzeitung,0,-1,-1
maßnahmen bmfsfj genderpaygap einleiten möchte via allesevolution,0,-1,-1
lithiumtechnik amp wasser english video zeigt passieren innenleben lithium basierenden batterie wasser kontakt kommt sicher elektrofahrzeuge deren batterie deutlich größer sowie mehr lithium enthält,0,-1,-1
de fighting stigma gender pay gap frauen verdienen prozent weniger männer newszone lohnunterschied männern frauen kleiner schere armut reichtum geht immer auseinander,0,-1,-1
euenergieministern montag beschlossene gaspreisdeckel euro pro megawattstunde angaben deutschen bundeswirtschaftsministeriums relativ flexibel deu energie,0,-1,-1
hallo herr reitschuster verstanden rüstet zwei panzerbataillone ukraine finde fair deutschen kriegshelden benannt deshalb vorschlag panzerbataillion baerbock panzerbattallion ronzheimer,0,-1,-1
kourimaus oma mutter wäre wäre schlimmste bestrafung droht zimmer aufräumen darf nen tag pokemon spielen pokemon spielt xd,0,-1,-1
tausende polizeikräfte gtreffens münster einsatz gmuenster,0,-1,-1
nahrung bekanntes ergebnis monokulturen massive ausbreitung krankheiten,0,-1,-1
schülerinnen kurdischen javanerud ruf khameneis tod iranrevoiution irgcterrorists,0,-1,-1
strengeren waffengesetze schützen jäger sammler weitere verschärfung waffenrecht trifft ohnehin diejenigen schon geltenden regeln halten,0,-1,-1
aufarbeitung korruptionsskandals euparlament darf bestrafung individuellen fehlverhaltens erschöpfen geht darum schlüsse f d arbeitsweisen euparlaments ziehen d vertrauen d bürger erodiert,0,-1,-1
oh nein fingernägel lackieren schlimme bestrafung,0,-1,-1
erdbeben türkei syrien mehr tote,0,-1,-1
faeser kündigt konsequenzen silvesternacht schnelle bestrafung täter verschärftes waffenrecht bessere sozialarbeit innenministerin faeser kündigt besuch feuerwache neukölln entschiedene reaktionen silvesterkrawalle,0,-1,-1
gute nacht khamenehi mörder irgc terrorist weiß ganze welt irgcterrorists iranrevoiution mahsaamini bundeskanzler abaerbock emmanuelmacron jamescleverly josepborrellf foad ghadimi diwandarre geschossen wurde,0,-1,-1
cumex hamburger untersuchungausschuss lädt zeugen bundestag,0,-1,-1
seit heute morgen versuchen angehörige freunde erreichen bestürzt auswirkungen erdbeben türkei syrien gedanken opfern deren angehörigen stunden steht humanitäre hilfe mittelpunkt,0,-1,-1
empfehlenswerter videobeitrag peterklien gutenachtoe lage iran wunsch freiheit iranrevolution jina mahsaamini irgcterrorists,0,-1,-1
herr unserm himmel gott konnte kindergarten spiel turkey syria ansehen erdbeben eingesetzt habt davon,0,-1,-1
na philipp bundestag heute,0,-1,-1
deutsche maoisten wählt bayernpartei,0,-1,-1
frauenrechte sicherheit privileg,0,-1,-1
grüße bundestag,0,-1,-1
angenommen sagt wirklich roman beiden tagen jeweils titel verteidigen wäre bestrafung cody rhodes royalrumble,0,-1,-1
echt idee warum mauricehoefgen ökonom nennt wirklich referent bundestag passt ja blendend alter falter schlecht nichtsverstanden finanzierung,0,-1,-1
eu beschließt gaspreisdeckel,0,-1,-1
drostenluegt furchtbar,0,-1,-1
cn schwangerschaft abbruch frau schwanger kind passiert abtreibung pfuh fragerunde abendedition ach sehne zeit midiwolke farbe himmels gefragt,0,-1,-1
ukrainekrieg gestern nachrichten abfrage europäer leo bestand bundeskanzler zusage portugal erhalten immer deutschen einprügeln gibt mehr staaten europa,0,-1,-1
kreativen prozess natur nutzen einstieg simulierte evolution java neuer artikel heiko spindler heikospindler java,0,-1,-1
steinmeiersbegnadigungen klage bundespräsidenten geht oberverwaltungsgericht bundespräsident menschen begnadigen straftaten begangen öffentlicher kontrolle unterliegt dabei,0,-1,-1
krieg geschwächte gebäude stürzen stunden erdbeben aleppo viertel al zbadia,0,-1,-1
spendenaufruf wann morgen dienstag uhr stadion kreuzeiche winterkleidung hygieneartikel windeln babynahrung decken bestenfalls beschrifteten kartons ansprechpartner turgay dogan unserssverdbeben türkei,0,-1,-1
kollege alexisfavre rtsinfrarouge versucht alainberset vergleich fall pierremaudet reserve locken bundespräsident lächelt frage stark druck morgen thema spitzen bundesratsparteien srfarena,0,-1,-1
frauenanteil führungsebenen rückläufig chefpositionen weiblich besetzt erhebung fondsfrauen analysiert zehnte position frau besetzt genderpaygap assetmanagement,0,-1,-1
lol bayern pflicht abschaffen elektrofahrzeuge grüne plakette müssen statt einfach nochmal zumindest selbstverständlichkeit hinzuweisen ausnahme schaffen zusätzliche bürokratie bedeutet wahlkampfgeschiss,0,-1,-1
wieso drostenluegt lügt drosten etwa drostenluegt wäre gut gar gut überhaupt gut drostenluegt,0,-1,-1
wann genug herr bundespräsident vanderbellen,0,-1,-1
